gene,gene_name,chromosome,description,entrez_id,LPS_vs_PBS_IP.l2fc,LPS_vs_PBS_IP.padj,IP_LPS_avg_fpkm,IP_PBS_avg_fpkm
ENSMUSG00000037405,Icam1,9,intercellular adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:96392],15894,3.140098566,1.05E-63,321.4507983,34.74946579
ENSMUSG00000031762,Mt2,8,metallothionein 2 [Source:MGI Symbol;Acc:MGI:97172],17750,3.136851425,3.48E-12,280.750361,11.96625864
ENSMUSG00000025491,Ifitm1,7,interferon induced transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1915963],68713,3.086826432,4.46E-57,76.32978591,8.481834728
ENSMUSG00000071637,Cebpd,16,"CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]",12609,3.076241677,3.78E-68,46.86760144,5.201307098
ENSMUSG00000030017,Reg3g,6,regenerating islet-derived 3 gamma [Source:MGI Symbol;Acc:MGI:109406],19695,3.064050749,1.66E-10,1.45628798,0.042295431
ENSMUSG00000042638,Gucy2c,6,guanylate cyclase 2c [Source:MGI Symbol;Acc:MGI:106903],14917,3.054100558,1.68E-21,4.475698044,0.360126266
ENSMUSG00000023905,Tnfrsf12a,17,"tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]",27279,3.039281355,9.47E-35,26.75006357,2.838548432
ENSMUSG00000018339,Gpx3,11,glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102],14778,2.996981985,1.72E-29,28.24008753,3.05324911
ENSMUSG00000015340,Cybb,X,"cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]",13058,2.944878655,1.81E-09,2.672114698,0.089596885
ENSMUSG00000033538,Casp4,9,"caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]",12363,2.924010923,2.80E-28,12.45234097,1.416791483
ENSMUSG00000075122,Cd80,16,CD80 antigen [Source:MGI Symbol;Acc:MGI:101775],12519,2.897349112,2.32E-19,3.477466234,0.352119011
ENSMUSG00000057465,Saa2,7,serum amyloid A 2 [Source:MGI Symbol;Acc:MGI:98222],20209,2.893507312,7.39E-09,1.054798653,0.017468873
ENSMUSG00000045094,Arhgef37,18,Rho guanine nucleotide exchange factor (GEF) 37 [Source:MGI Symbol;Acc:MGI:3045339],328967,2.882075627,1.82E-22,3.094668117,0.323630014
ENSMUSG00000004655,Aqp1,6,aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201],11826,2.848888256,1.02E-23,12.24476622,1.438934041
ENSMUSG00000011008,Mcoln2,3,mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529],68279,2.846786713,1.79E-13,3.322522697,0.27580426
ENSMUSG00000054855,Rnd1,15,Rho family GTPase 1 [Source:MGI Symbol;Acc:MGI:2444878],223881,2.840041258,1.80E-14,43.92603394,4.20238989
ENSMUSG00000035356,Nfkbiz,16,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta [Source:MGI Symbol;Acc:MGI:1931595]",80859,2.820941145,2.12E-37,21.57608268,2.79415496
ENSMUSG00000043091,Tuba1c,15,"tubulin, alpha 1C [Source:MGI Symbol;Acc:MGI:1095409]",22146,2.819045155,1.46E-32,11.39432844,1.437270674
ENSMUSG00000041515,Irf8,8,interferon regulatory factor 8 [Source:MGI Symbol;Acc:MGI:96395],15900,2.801081819,4.17E-09,10.59644688,0.508653425
ENSMUSG00000055172,C1ra,6,"complement component 1, r subcomponent A [Source:MGI Symbol;Acc:MGI:1355313]",50909,2.799093511,1.01E-61,27.91820373,3.974171343
ENSMUSG00000038580,Sct,7,secretin [Source:MGI Symbol;Acc:MGI:99466],20287,2.788153251,3.30E-08,3.327489017,0.046111783
ENSMUSG00000020407,Upp1,11,uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668],22271,2.7877196,5.33E-08,44.30615626,0.343624326
ENSMUSG00000031734,Irx3,8,Iroquois related homeobox 3 [Source:MGI Symbol;Acc:MGI:1197522],16373,2.782675684,1.70E-28,10.85536627,1.390579021
ENSMUSG00000006445,Epha2,4,Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278],13836,2.778145912,8.72E-38,26.89759278,3.593924779
ENSMUSG00000049037,Clec4a1,6,"C-type lectin domain family 4, member a1 [Source:MGI Symbol;Acc:MGI:3036291]",269799,2.74890374,7.94E-08,1.027339272,0
ENSMUSG00000002831,Plin4,17,perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709],57435,2.724419271,1.80E-29,6.076898228,0.806269636
ENSMUSG00000071713,Csf2rb,15,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339759]",12983,2.715033234,3.26E-14,1.92245407,0.215723332
ENSMUSG00000053198,Prx,7,periaxin [Source:MGI Symbol;Acc:MGI:108176],19153,2.711018531,6.95E-19,3.410717956,0.435040765
ENSMUSG00000050345,4930486L24Rik,13,RIKEN cDNA 4930486L24 gene [Source:MGI Symbol;Acc:MGI:1922258],214639,2.696432177,7.11E-08,1.488082358,0.051417106
ENSMUSG00000031551,Ido1,8,"indoleamine 2,3-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:96416]",15930,2.67396263,1.46E-07,1.276812979,0.024030909
ENSMUSG00000047230,Cldn2,X,claudin 2 [Source:MGI Symbol;Acc:MGI:1276110],12738,2.669672287,6.02E-15,6.414400168,0.666579808
ENSMUSG00000020427,Igfbp3,11,insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438],16009,2.664984041,1.22E-11,182.7114269,18.23412655
ENSMUSG00000053113,Socs3,11,suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791],12702,2.650294707,1.13E-36,29.3229833,4.296147993
ENSMUSG00000029321,Slc10a6,5,"solute carrier family 10 (sodium/bile acid cotransporter family), member 6 [Source:MGI Symbol;Acc:MGI:1923000]",75750,2.638986036,3.15E-07,4.863698099,0.039795319
ENSMUSG00000047180,Neurl3,1,neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944],214854,2.629724734,9.23E-12,2.955598778,0.340743833
ENSMUSG00000024222,Fkbp5,17,FK506 binding protein 5 [Source:MGI Symbol;Acc:MGI:104670],14229,2.611112528,1.42E-44,85.53649203,12.94491924
ENSMUSG00000024164,C3,17,complement component 3 [Source:MGI Symbol;Acc:MGI:88227],12266,2.596386174,5.13E-07,24.3585552,0.116995801
ENSMUSG00000034855,Cxcl10,5,chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450],15945,2.595416595,1.98E-07,9.049490142,0.421368566
ENSMUSG00000046245,Pilra,5,paired immunoglobin-like type 2 receptor alpha [Source:MGI Symbol;Acc:MGI:2450529],231805,2.594302433,3.94E-07,1.004050825,0.026472519
ENSMUSG00000037686,Aspg,12,asparaginase [Source:MGI Symbol;Acc:MGI:2144822],104816,2.593190204,2.42E-21,8.758080243,1.272415743
ENSMUSG00000014813,Stc1,14,stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131],20855,2.589926719,3.82E-08,9.387541095,0.63094006
ENSMUSG00000049307,Fut4,9,fucosyltransferase 4 [Source:MGI Symbol;Acc:MGI:95594],14345,2.576727856,2.46E-16,2.142330397,0.289711944
ENSMUSG00000003283,Hck,2,hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052],15162,2.570636305,9.52E-08,1.757581556,0.124378475
ENSMUSG00000024677,Ms4a6b,19,"membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]",69774,2.560827827,2.10E-08,1.151249553,0.101588651
ENSMUSG00000020400,Tnip1,11,TNFAIP3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1926194],57783,2.542792956,9.00E-44,99.19308787,16.50982495
ENSMUSG00000022831,Hcls1,16,hematopoietic cell specific Lyn substrate 1 [Source:MGI Symbol;Acc:MGI:104568],15163,2.525029283,9.22E-13,7.278732211,0.976937495
ENSMUSG00000007480,Mc5r,18,melanocortin 5 receptor [Source:MGI Symbol;Acc:MGI:99420],17203,2.517253369,4.68E-09,26.74510923,2.563424292
ENSMUSG00000037035,Inhbb,1,inhibin beta-B [Source:MGI Symbol;Acc:MGI:96571],16324,2.512391197,1.87E-08,13.20877023,1.19059958
ENSMUSG00000048572,Tmem252,19,transmembrane protein 252 [Source:MGI Symbol;Acc:MGI:3583948],226040,2.509511702,6.53E-12,47.24595269,6.086157076
ENSMUSG00000031765,Mt1,8,metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171],17748,2.506395053,3.24E-12,169.0408894,20.47795291
ENSMUSG00000105987,AI506816,5,expressed sequence AI506816 [Source:MGI Symbol;Acc:MGI:2140929],433855,2.499650579,4.37E-44,16.37861215,2.843342797
ENSMUSG00000038521,C1s1,6,"complement component 1, s subcomponent 1 [Source:MGI Symbol;Acc:MGI:1355312]",50908,2.498579114,8.86E-29,9.147864977,1.504519253
ENSMUSG00000042485,Mustn1,14,"musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]",66175,2.49162097,4.68E-13,13.07620604,1.89622359
ENSMUSG00000024521,Pmaip1,18,phorbol-12-myristate-13-acetate-induced protein 1 [Source:MGI Symbol;Acc:MGI:1930146],58801,2.487858554,4.04E-32,46.51256841,6.870020748
ENSMUSG00000062480,Acat3,17,acetyl-Coenzyme A acetyltransferase 3 [Source:MGI Symbol;Acc:MGI:109182],224530,2.479568617,4.71E-11,2.720459182,0.363605117
ENSMUSG00000030748,Il4ra,7,"interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]",16190,2.47638726,3.16E-14,41.47529969,6.025921127
ENSMUSG00000041481,Serpina3g,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3G [Source:MGI Symbol;Acc:MGI:105046]",20715,2.459729306,6.90E-10,3.617246626,0.424701816
ENSMUSG00000030413,Pglyrp1,7,peptidoglycan recognition protein 1 [Source:MGI Symbol;Acc:MGI:1345092],21946,2.452969491,4.52E-46,125.1885926,22.46433728
ENSMUSG00000035186,Ubd,17,ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410],24108,2.452937492,2.47E-06,1.351886731,0
ENSMUSG00000033685,Ucp2,7,"uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]",22228,2.44382041,3.69E-14,202.3610743,28.39450056
ENSMUSG00000016024,Lbp,2,lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776],16803,2.440500296,1.05E-09,119.9544505,14.67913487
ENSMUSG00000079363,Gbp4,5,guanylate binding protein 4 [Source:MGI Symbol;Acc:MGI:97072],17472,2.439596551,1.38E-12,86.19000547,12.16305289
ENSMUSG00000098708,Gm27252,7,predicted gene 27252 [Source:MGI Symbol;Acc:MGI:5521095],,2.42528104,2.76E-06,2.172546694,0.0641184
ENSMUSG00000031803,B3gnt3,8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:MGI Symbol;Acc:MGI:2152535]",72297,2.419349474,4.24E-42,27.24449188,5.006643533
ENSMUSG00000021281,Tnfaip2,12,"tumor necrosis factor, alpha-induced protein 2 [Source:MGI Symbol;Acc:MGI:104960]",21928,2.399801308,4.33E-19,7.289876026,1.243042796
ENSMUSG00000028633,Ctps,4,cytidine 5'-triphosphate synthase [Source:MGI Symbol;Acc:MGI:1858304],51797,2.379959807,5.28E-31,45.81929659,8.458237304
ENSMUSG00000001228,Uhrf1,17,"ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]",18140,2.370355821,2.51E-12,3.184595338,0.473901737
ENSMUSG00000073599,Ecscr,18,endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:MGI Symbol;Acc:MGI:1915795],68545,2.354083874,1.08E-37,205.2921907,39.16995734
ENSMUSG00000005667,Mthfd2,6,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]",17768,2.350581391,6.07E-15,10.38068786,1.663659488
ENSMUSG00000022500,Litaf,16,LPS-induced TN factor [Source:MGI Symbol;Acc:MGI:1929512],56722,2.347271265,1.50E-12,46.38913162,7.45420858
ENSMUSG00000014158,Trpv4,5,"transient receptor potential cation channel, subfamily V, member 4 [Source:MGI Symbol;Acc:MGI:1926945]",63873,2.338449622,8.58E-39,25.65950922,5.000921145
ENSMUSG00000039699,Batf2,19,"basic leucine zipper transcription factor, ATF-like 2 [Source:MGI Symbol;Acc:MGI:1921731]",74481,2.332587366,5.14E-09,6.568279972,0.878331628
ENSMUSG00000046711,Hmga1,17,high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160],15361,2.322224005,1.11E-16,15.93899992,2.817983015
ENSMUSG00000025492,Ifitm3,7,interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391],66141,2.320717406,1.54E-50,418.7201407,84.76643259
ENSMUSG00000020534,Shmt1,11,serine hydroxymethyltransferase 1 (soluble) [Source:MGI Symbol;Acc:MGI:98299],20425,2.317919182,2.43E-08,1.545059357,0.214485857
ENSMUSG00000022032,Scara5,14,"scavenger receptor class A, member 5 [Source:MGI Symbol;Acc:MGI:1918395]",71145,2.312344184,1.92E-06,19.0432535,1.687463261
ENSMUSG00000027368,Dusp2,2,dual specificity phosphatase 2 [Source:MGI Symbol;Acc:MGI:101911],13537,2.307800503,1.10E-07,2.049983953,0.26879958
ENSMUSG00000004328,Hif3a,7,"hypoxia inducible factor 3, alpha subunit [Source:MGI Symbol;Acc:MGI:1859778]",53417,2.291182589,9.80E-14,2.06438542,0.361952302
ENSMUSG00000022221,Ripk3,14,receptor-interacting serine-threonine kinase 3 [Source:MGI Symbol;Acc:MGI:2154952],56532,2.289697211,8.22E-10,2.738957107,0.417931092
ENSMUSG00000030787,Lyve1,7,lymphatic vessel endothelial hyaluronan receptor 1 [Source:MGI Symbol;Acc:MGI:2136348],114332,2.280023769,2.94E-10,2.921111787,0.437115787
ENSMUSG00000003617,Cp,3,ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476],12870,2.271745987,1.49E-56,667.3162745,137.9270252
ENSMUSG00000078922,Tgtp1,11,T cell specific GTPase 1 [Source:MGI Symbol;Acc:MGI:98734],21822,2.249098298,1.61E-08,18.60217377,2.67224827
ENSMUSG00000032135,Mcam,9,melanoma cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1933966],84004,2.245411749,5.76E-32,37.5346468,7.759354253
ENSMUSG00000042622,Maff,15,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian) [Source:MGI Symbol;Acc:MGI:96910]",17133,2.232290996,4.91E-21,30.97369364,6.201985305
ENSMUSG00000050335,Lgals3,14,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]",16854,2.217549242,2.62E-08,2.923614904,0.453112496
ENSMUSG00000117980,Gm30571,17,"predicted gene, 30571 [Source:MGI Symbol;Acc:MGI:5589730]",,2.20782068,2.12E-16,21.72784871,4.319344648
ENSMUSG00000024349,Sting1,18,stimulator of interferon response cGAMP interactor 1 [Source:MGI Symbol;Acc:MGI:1919762],72512,2.204202903,9.96E-23,17.77504847,3.704394461
ENSMUSG00000002699,Lcp2,11,lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402],16822,2.203492783,4.43E-13,3.601717523,0.678961611
ENSMUSG00000022952,Runx1,16,runt related transcription factor 1 [Source:MGI Symbol;Acc:MGI:99852],12394,2.184988422,2.03E-11,1.49377103,0.278508037
ENSMUSG00000016496,Cd274,19,CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446],60533,2.184796839,1.44E-06,68.83990921,8.865112168
ENSMUSG00000073409,H2-Q6,17,"histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]",110557,2.184039408,2.67E-21,21.42868632,4.524777439
ENSMUSG00000026773,Pfkfb3,2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:MGI Symbol;Acc:MGI:2181202]",170768,2.162613455,2.46E-06,77.34277424,9.600836505
ENSMUSG00000042129,Rassf4,6,Ras association (RalGDS/AF-6) domain family member 4 [Source:MGI Symbol;Acc:MGI:2386853],213391,2.137910669,4.46E-16,7.897502496,1.520312163
ENSMUSG00000035673,Sbno2,10,strawberry notch 2 [Source:MGI Symbol;Acc:MGI:2448490],216161,2.13108238,1.89E-33,50.90410937,11.35451732
ENSMUSG00000019850,Tnfaip3,10,"tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]",21929,2.130802814,3.31E-32,21.23488536,4.774888683
ENSMUSG00000031995,St14,9,suppression of tumorigenicity 14 (colon carcinoma) [Source:MGI Symbol;Acc:MGI:1338881],19143,2.129591475,1.28E-16,3.594102443,0.764263089
ENSMUSG00000006014,Prg4,1,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein) [Source:MGI Symbol;Acc:MGI:1891344]",96875,2.128971995,6.49E-27,166.3679523,35.14255493
ENSMUSG00000037613,Tnfrsf23,7,"tumor necrosis factor receptor superfamily, member 23 [Source:MGI Symbol;Acc:MGI:1930269]",79201,2.125707094,4.45E-08,2.462914941,0.429605247
ENSMUSG00000030790,Adm,7,adrenomedullin [Source:MGI Symbol;Acc:MGI:108058],11535,2.11211099,7.82E-25,47.91085021,10.68059051
ENSMUSG00000020227,Irak3,10,interleukin-1 receptor-associated kinase 3 [Source:MGI Symbol;Acc:MGI:1921164],73914,2.110158726,5.83E-23,32.26672691,6.777610022
ENSMUSG00000002289,Angptl4,17,angiopoietin-like 4 [Source:MGI Symbol;Acc:MGI:1888999],57875,2.110036032,7.77E-06,59.91577407,7.347250204
ENSMUSG00000000732,Icosl,10,icos ligand [Source:MGI Symbol;Acc:MGI:1354701],50723,2.094055772,6.27E-27,28.40127463,6.415942896
ENSMUSG00000063234,Gpr84,15,G protein-coupled receptor 84 [Source:MGI Symbol;Acc:MGI:1934129],80910,2.09276801,7.74E-05,1.334131512,0.084867182
ENSMUSG00000072620,Slfn2,11,schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258],20556,2.083943435,2.77E-47,55.09481007,12.86336643
