Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
ENTPD1,P49961,ENTP1_HUMAN,Ectonucleoside triphosphate diphosphohydrolase 1,8968921.238,304680871.8,Vessel enriched,4.96,3.35043E-07,0.0272
CAVIN1,Q6NZI2,CAVN1_HUMAN,Caveolae-associated protein 1,2126725.344,78323720.82,Vessel enriched,4.93,1.06372E-06,0.0776
HSPA12B,Q96MM6,HS12B_HUMAN,Heat shock 70 kDa protein 12B,715578.6236,24317072.45,Vessel enriched,4.91,1.83799E-07,0.0163
ESAM,Q96AP7,ESAM_HUMAN,Endothelial cell-selective adhesion molecule,1291101.585,44072800.24,Vessel enriched,4.87,1.0324E-06,0.0762
LHFPL6,Q9Y693,LHPL6_HUMAN,LHFPL tetraspan subfamily member 6 protein,115936.6056,4295390.387,Vessel enriched,4.86,0.00086808,0.484
COLEC12,Q5KU26,COL12_HUMAN,Collectin-12,915137.8364,26709563.76,Vessel enriched,4.78,4.54461E-08,0.00382
SEC11A,P67812,SC11A_HUMAN,Signal peptidase complex catalytic subunit SEC11A,300718.5419,7962739.564,Vessel enriched,4.76,3.98226E-08,0.00329
ICAM2,P13598,ICAM2_HUMAN,Intercellular adhesion molecule 2,199665.8065,6276690.377,Vessel enriched,4.75,0.000395368,0.401
CALML3,P27482,CALL3_HUMAN,Calmodulin-like protein 3,113992.1253,14254604.39,Not differentially expressed,4.72,0.070439753,0.843
LAMC1,P11047,LAMC1_HUMAN,Laminin subunit gamma-1,1850177.08,54335292.92,Vessel enriched,4.69,2.97996E-07,0.0248
CD151,P48509,CD151_HUMAN,CD151 antigen,2380301.294,64496088.62,Vessel enriched,4.63,1.93423E-07,0.0171
FBLN5,Q9UBX5,FBLN5_HUMAN,Fibulin-5,112518.8654,2847605.984,Vessel enriched,4.61,0.000189948,0.281
MYOF,Q9NZM1,MYOF_HUMAN,Myoferlin,452285.9408,11422488.74,Vessel enriched,4.6,2.84407E-07,0.0238
STING1,Q86WV6,STING_HUMAN,Stimulator of interferon genes protein,302849.6824,8533141.12,Vessel enriched,4.6,3.01801E-05,0.249
SUSD2,Q9UGT4,SUSD2_HUMAN,Sushi domain-containing protein 2,663216.7935,20093850.52,Vessel enriched,4.58,4.47243E-06,0.157
LPCAT3,Q6P1A2,MBOA5_HUMAN,Lysophospholipid acyltransferase 5,193435.5674,5115016.556,Vessel enriched,4.58,0.000196199,0.324
ANXA3,P12429,ANXA3_HUMAN,Annexin A3,825044.5654,18462893.82,Vessel enriched,4.57,8.24922E-08,0.00606
HVCN1,Q96D96,HVCN1_HUMAN,Voltage-gated hydrogen channel 1,463819.6056,11069289.66,Vessel enriched,4.47,0.000160678,0.305
TMEM109,Q9BVC6,TM109_HUMAN,Voltage-gated monoatomic cation channel TMEM109,858085.6318,15105043.8,Vessel enriched,4.46,2.14228E-05,0.183
LAMB2,P55268,LAMB2_HUMAN,Laminin subunit beta-2,1496817.536,38026960.22,Vessel enriched,4.42,1.33846E-06,0.0889
TRIM29,Q14134,TRI29_HUMAN,Tripartite motif-containing protein 29,356300.8002,7309108.571,Vessel enriched,4.39,0.000760063,0.376
ANXA1,P04083,ANXA1_HUMAN,Annexin A1,1523340.387,30815420.97,Vessel enriched,4.37,3.52572E-06,0.145
PECAM1,P16284,PECA1_HUMAN,Platelet endothelial cell adhesion molecule,1121433.343,24175504.07,Vessel enriched,4.35,1.44035E-07,0.0126
CKMT2,P17540,KCRS_HUMAN,"Creatine kinase S-type, mitochondrial",385853.7935,8677770.943,Vessel enriched,4.35,1.62277E-05,0.202
ADGRL4,Q9HBW9,AGRL4_HUMAN,Adhesion G protein-coupled receptor L4,191448.6887,4010536.433,Vessel enriched,4.29,0.000248095,0.35
TPM4,P67936,TPM4_HUMAN,Tropomyosin alpha-4 chain,10770473.79,190982825.7,Vessel enriched,4.27,4.6711E-05,0.303
IFITM3,Q01628,IFM3_HUMAN,Interferon-induced transmembrane protein 3,283436.8648,6050820.187,Vessel enriched,4.26,0.00029634,0.439
SERPINH1,P50454,SERPH_HUMAN,Serpin H1,861499.7021,19197166.96,Vessel enriched,4.25,1.44581E-06,0.0925
ADIRF,Q15847,ADIRF_HUMAN,Adipogenesis regulatory factor,158517.0483,3535990.568,Vessel enriched,4.23,0.001510559,0.533
LAMA4,Q16363,LAMA4_HUMAN,Laminin subunit alpha-4,688302.2886,15495986.73,Vessel enriched,4.22,1.13696E-05,0.21
FLNA,P21333,FLNA_HUMAN,Filamin-A,14917467.6,287415115.4,Vessel enriched,4.18,7.49632E-07,0.0604
STOM,P27105,STOM_HUMAN,Stomatin,6048791.369,111489894.8,Vessel enriched,4.17,2.5132E-07,0.0214
BCAP31,P51572,BAP31_HUMAN,B-cell receptor-associated protein 31,2009379.969,26616341.52,Vessel enriched,4.17,1.60796E-05,0.234
COL4A2,P08572,CO4A2_HUMAN,Collagen alpha-2(IV) chain,486749.4487,16040343.08,Vessel enriched,4.17,0.000797795,0.502
EHD2,Q9NZN4,EHD2_HUMAN,EH domain-containing protein 2,3504065.148,66690527.88,Vessel enriched,4.13,1.29427E-06,0.0873
SLC38A5,Q8WUX1,S38A5_HUMAN,Sodium-coupled neutral amino acid transporter 5,527448.2364,11265084.49,Vessel enriched,4.12,0.001633538,0.543
ITGA7,Q13683,ITA7_HUMAN,Integrin alpha-7,2039611.735,39675254.25,Vessel enriched,4.11,1.27754E-06,0.0866
CYBRD1,Q53TN4,CYBR1_HUMAN,Plasma membrane ascorbate-dependent reductase CYBRD1,799924.2298,13039613.54,Vessel enriched,4.11,1.94651E-05,0.216
ITGB6,P18564,ITB6_HUMAN,Integrin beta-6,3995377.35,68614239.91,Vessel enriched,4.1,6.18804E-07,0.025
ITIH5,Q86UX2,ITIH5_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H5,899424.7223,18547235.2,Vessel enriched,4.09,4.54013E-06,0.158
H4C16,P62805,H4_HUMAN,Histone H4,42146925.08,1006695019,Vessel enriched,4.08,0.000397837,0.486
COL15A1,P39059,COFA1_HUMAN,Collagen alpha-1(XV) chain,126917.0884,2694778.694,Vessel enriched,4.07,0.000412098,0.442
EBP,Q15125,EBP_HUMAN,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",304471.2606,3597737.443,Vessel enriched,4.06,0.000314421,0.415
LAMA2,P24043,LAMA2_HUMAN,Laminin subunit alpha-2,2019191.455,37627099.31,Vessel enriched,4.01,2.2092E-06,0.117
PLAT,P00750,TPA_HUMAN,Tissue-type plasminogen activator,484961.5087,9410771.002,Vessel enriched,3.99,6.04437E-06,0.171
OCLN,Q16625,OCLN_HUMAN,Occludin,467657.1489,9496156.36,Vessel enriched,3.97,3.08742E-05,0.279
VCL,P18206,VINC_HUMAN,Vinculin,8991754.411,149850317,Vessel enriched,3.94,1.34365E-06,0.0891
VWF,P04275,VWF_HUMAN,von Willebrand factor,2027568.173,40746143.33,Vessel enriched,3.94,1.78035E-05,0.242
CA4,P22748,CAH4_HUMAN,Carbonic anhydrase 4,4122076.36,60709734.89,Vessel enriched,3.93,7.41823E-07,0.0599
TESC,Q96BS2,CHP3_HUMAN,Calcineurin B homologous protein 3,702474.6564,9107168.524,Vessel enriched,3.92,1.30318E-05,0.22
COL14A1,Q05707,COEA1_HUMAN,Collagen alpha-1(XIV) chain,550823.1986,8846923.917,Vessel enriched,3.91,2.18067E-05,0.256
KANK2,Q63ZY3,KANK2_HUMAN,KN motif and ankyrin repeat domain-containing protein 2,367685.8416,7157631.03,Vessel enriched,3.9,3.97264E-05,0.294
EI24,O14681,EI24_HUMAN,Etoposide-induced protein 2.4 homolog,191364.6673,3513436.008,Vessel enriched,3.89,0.002730947,0.608
TFRC,P02786,TFR1_HUMAN,Transferrin receptor protein 1,4234811.612,67466986.92,Vessel enriched,3.87,2.31813E-06,0.12
TAP1,Q03518,TAP1_HUMAN,Antigen peptide transporter 1,601601.7358,10459339.31,Vessel enriched,3.87,5.08191E-06,0.163
ITGA6,P23229,ITA6_HUMAN,Integrin alpha-6,2125117.142,34744008.2,Vessel enriched,3.87,6.21249E-06,0.173
WAS,P42768,WASP_HUMAN,Actin nucleation-promoting factor WAS,236332.5599,3417593.94,Vessel enriched,3.86,0.000148972,0.3
TINAGL1,Q9GZM7,TINAL_HUMAN,Tubulointerstitial nephritis antigen-like,441098.9556,10791986.92,Vessel enriched,3.86,0.000173807,0.387
H3-3B,P84243,H33_HUMAN,Histone H3.3,72445722.42,1262818838,Vessel enriched,3.85,2.87411E-05,0.274
PTGDR2,Q9Y5Y4,PD2R2_HUMAN,Prostaglandin D2 receptor 2,361047.5906,5856928.583,Vessel enriched,3.85,0.000107857,0.307
NID1,P14543,NID1_HUMAN,Nidogen-1,1121561.214,18833163.98,Vessel enriched,3.84,7.51098E-06,0.182
CALD1,Q05682,CALD1_HUMAN,Caldesmon,4790792.607,80581780.39,Vessel enriched,3.84,1.05559E-05,0.205
ENG,P17813,EGLN_HUMAN,Endoglin,602757.95,9726480.819,Vessel enriched,3.82,2.40821E-05,0.231
MGST2,Q99735,MGST2_HUMAN,Microsomal glutathione S-transferase 2,491067.1046,7957175.035,Vessel enriched,3.82,0.000215376,0.374
TAPBP,O15533,TPSN_HUMAN,Tapasin,1249765.705,18698340.83,Vessel enriched,3.81,4.79542E-06,0.161
COX4I2,Q96KJ9,COX42_HUMAN,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial",209846.8511,3191323.619,Vessel enriched,3.81,0.000742361,0.469
GGT1,P19440,GGT1_HUMAN,Glutathione hydrolase 1 proenzyme,2363478.349,34749822.96,Vessel enriched,3.8,1.0878E-06,0.0788
SORBS3,O60504,VINEX_HUMAN,Vinexin,652018.3452,11235259.6,Vessel enriched,3.8,2.2803E-05,0.259
CAVIN2,O95810,CAVN2_HUMAN,Caveolae-associated protein 2,1149939.939,20584464.57,Vessel enriched,3.78,4.93811E-05,0.306
PLA2G4A,P47712,PA24A_HUMAN,Cytosolic phospholipase A2,307783.8854,4226320.082,Vessel enriched,3.76,1.44148E-05,0.162
SLC25A24,Q6NUK1,SCMC1_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A24,3979341.776,55264099.81,Vessel enriched,3.72,1.28166E-06,0.0868
PDGFRB,P09619,PGFRB_HUMAN,Platelet-derived growth factor receptor beta,1173992.752,17174331.61,Vessel enriched,3.7,2.78757E-06,0.131
ITGA3,P26006,ITA3_HUMAN,Integrin alpha-3,559087.1394,8035843.482,Vessel enriched,3.7,2.84329E-06,0.132
NID2,Q14112,NID2_HUMAN,Nidogen-2,772369.614,11897483.37,Vessel enriched,3.7,1.75983E-05,0.241
TPM1,P09493,TPM1_HUMAN,Tropomyosin alpha-1 chain,3605645.912,48076835.27,Vessel enriched,3.69,0.000481836,0.5
FBLN7,Q53RD9,FBLN7_HUMAN,Fibulin-7,642160.8867,8055311.873,Vessel enriched,3.67,7.39494E-05,0.34
SLC4A1,P02730,B3AT_HUMAN,Band 3 anion transport protein,4014977.014,62062427.51,Vessel enriched,3.66,7.75942E-06,0.183
FCGRT,P55899,FCGRN_HUMAN,IgG receptor FcRn large subunit p51,253923.0072,4602019.003,Vessel enriched,3.66,0.000189292,0.424
TGFB1I1,O43294,TGFI1_HUMAN,Transforming growth factor beta-1-induced transcript 1 protein,408258.3194,7666985.595,Vessel enriched,3.66,0.000329363,0.471
CLEC14A,Q86T13,CLC14_HUMAN,C-type lectin domain family 14 member A,1196799.568,18523557.62,Vessel enriched,3.65,0.000135946,0.364
SLC19A1,P41440,S19A1_HUMAN,Reduced folate transporter,306895.819,4466392.39,Vessel enriched,3.63,3.5481E-05,0.261
COL4A5,P29400,CO4A5_HUMAN,Collagen alpha-5(IV) chain,1505328.133,37928888.88,Vessel enriched,3.63,0.005503317,0.709
CNN1,P51911,CNN1_HUMAN,Calponin-1,514893.9178,5564413.328,Vessel enriched,3.62,5.38692E-05,0.289
MGAT1,P26572,MGAT1_HUMAN,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",141100.9978,1722009.052,Vessel enriched,3.6,1.22056E-05,0.181
HLA-B,P01889,HLAB_HUMAN,"HLA class I histocompatibility antigen, B alpha chain",3566587.196,45058635.62,Vessel enriched,3.6,1.65224E-05,0.236
ANXA4,P09525,ANXA4_HUMAN,Annexin A4,932130.3843,11509098.03,Vessel enriched,3.58,6.18197E-05,0.324
HLA-E,P13747,HLAE_HUMAN,"HLA class I histocompatibility antigen, alpha chain E",250778.936,4282357.077,Vessel enriched,3.58,0.000230039,0.441
BCAM,P50895,BCAM_HUMAN,Basal cell adhesion molecule,3757388.783,57313022,Vessel enriched,3.57,7.97585E-05,0.347
PDLIM7,Q9NR12,PDLI7_HUMAN,PDZ and LIM domain protein 7,517194.513,9457296.249,Vessel enriched,3.56,0.000884077,0.55
ANO10,Q9NW15,ANO10_HUMAN,Anoctamin-10,542254.3335,6888945.852,Vessel enriched,3.55,1.46175E-05,0.228
WLS,Q5T9L3,WLS_HUMAN,Protein wntless homolog,222521.4872,3026322.531,Vessel enriched,3.55,0.000310386,0.444
UNC93B1,Q9H1C4,UN93B_HUMAN,Protein unc-93 homolog B1,80353.71479,977553.3228,Vessel enriched,3.55,0.001330305,0.494
RHAG,Q02094,RHAG_HUMAN,Ammonium transporter Rh type A,424743.961,5433842.919,Vessel enriched,3.54,2.95378E-05,0.276
ITGA5,P08648,ITA5_HUMAN,Integrin alpha-5,556196.3732,7868219.796,Vessel enriched,3.54,5.65049E-05,0.316
MMRN2,Q9H8L6,MMRN2_HUMAN,Multimerin-2,302006.362,4356404.637,Vessel enriched,3.51,4.1024E-05,0.296
EOGT,Q5NDL2,EOGT_HUMAN,EGF domain-specific O-linked N-acetylglucosamine transferase,499297.1637,6100729.681,Vessel enriched,3.51,0.000115019,0.349
GNL3,Q9BVP2,GNL3_HUMAN,Guanine nucleotide-binding protein-like 3,47093.34839,757512.0318,Vessel enriched,3.51,0.015913453,0.748
ANTXR2,P58335,ANTR2_HUMAN,Anthrax toxin receptor 2,114273.5747,1308156.858,Vessel enriched,3.5,0.000283364,0.364
MELTF,P08582,TRFM_HUMAN,Melanotransferrin,1662310.103,21109263.37,Vessel enriched,3.49,5.89556E-06,0.17
SLC2A4,P14672,GLUT4_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 4",93716.87743,1405092.912,Vessel enriched,3.49,0.001744362,0.581
SLC7A1,P30825,CTR1_HUMAN,High affinity cationic amino acid transporter 1,1328179.214,17450950.41,Vessel enriched,3.48,3.01166E-05,0.277
MFGE8,Q08431,MFGM_HUMAN,Lactadherin,648830.2808,9248070.952,Vessel enriched,3.48,0.000105914,0.37
DCD,P81605,DCD_HUMAN,Dermcidin,4735137.69,78177457.45,Vessel enriched,3.47,0.002049927,0.636
SEC61A1,P61619,S61A1_HUMAN,Protein transport protein Sec61 subunit alpha isoform 1,3268971.533,36943832.6,Vessel enriched,3.46,3.22323E-05,0.254
EFEMP2,O95967,FBLN4_HUMAN,EGF-containing fibulin-like extracellular matrix protein 2,153105.0325,2271995.249,Vessel enriched,3.46,0.001633824,0.574
ZMPSTE24,O75844,FACE1_HUMAN,CAAX prenyl protease 1 homolog,645957.5024,6249816.395,Vessel enriched,3.45,2.02847E-05,0.251
MPDU1,O75352,MPU1_HUMAN,Mannose-P-dolichol utilization defect 1 protein,644590.6547,6850872.552,Vessel enriched,3.45,9.71691E-05,0.363
TAP2,Q03519,TAP2_HUMAN,Antigen peptide transporter 2,972156.1301,14120459.97,Vessel enriched,3.45,0.000309683,0.443
KANK3,Q6NY19,KANK3_HUMAN,KN motif and ankyrin repeat domain-containing protein 3,320832.5622,5258626.513,Vessel enriched,3.45,0.002363168,0.649
SORBS2,O94875,SRBS2_HUMAN,Sorbin and SH3 domain-containing protein 2,1561510.748,26705276.97,Vessel enriched,3.44,0.001132724,0.577
TMX1,Q9H3N1,TMX1_HUMAN,Thioredoxin-related transmembrane protein 1,1807079.761,19300269.35,Vessel enriched,3.43,1.55724E-06,0.096
PROCR,Q9UNN8,EPCR_HUMAN,Endothelial protein C receptor,538605.2096,7267295.533,Vessel enriched,3.42,5.81805E-05,0.318
COL4A1,P02462,CO4A1_HUMAN,Collagen alpha-1(IV) chain,374285.6693,5076021.547,Vessel enriched,3.42,0.000739698,0.515
AGRN,O00468,AGRIN_HUMAN,Agrin,3261591.803,39608268.23,Vessel enriched,3.4,1.43845E-05,0.226
INMT,O95050,INMT_HUMAN,Indolethylamine N-methyltransferase,101777.5796,1113853.619,Vessel enriched,3.4,0.001492052,0.505
ERAP2,Q6P179,ERAP2_HUMAN,Endoplasmic reticulum aminopeptidase 2,237953.3123,2545107.582,Vessel enriched,3.4,0.001543599,0.508
RHOC,P08134,RHOC_HUMAN,Rho-related GTP-binding protein RhoC,330773.6438,3240026.516,Vessel enriched,3.39,4.15047E-05,0.237
SLC30A10,Q6XR72,ZNT10_HUMAN,Calcium/manganese antiporter SLC30A10,125757.3119,1438766.563,Vessel enriched,3.38,0.001479984,0.531
TMBIM6,P55061,BI1_HUMAN,Bax inhibitor 1,97984.08426,1198468.694,Vessel enriched,3.36,0.00435549,0.66
SRSF3,P84103,SRSF3_HUMAN,Serine/arginine-rich splicing factor 3,8165386.561,104071690.7,Vessel enriched,3.35,5.22351E-05,0.309
BST2,Q10589,BST2_HUMAN,Bone marrow stromal antigen 2,1521580.958,15390531.14,Vessel enriched,3.34,5.91094E-07,0.0493
TNS1,Q9HBL0,TENS1_HUMAN,Tensin-1,1422150.753,18691613.84,Vessel enriched,3.33,0.000110325,0.374
SSPN,Q14714,SSPN_HUMAN,Sarcospan,806823.4234,9075866.941,Vessel enriched,3.31,1.11641E-05,0.209
TMED5,Q9Y3A6,TMED5_HUMAN,Transmembrane emp24 domain-containing protein 5,290718.7433,3123114.692,Vessel enriched,3.31,0.00167214,0.546
TNS2,Q63HR2,TENS2_HUMAN,Tensin-2,376835.8431,4345182.93,Vessel enriched,3.29,2.34844E-05,0.261
FLT1,P17948,VGFR1_HUMAN,Vascular endothelial growth factor receptor 1,239729.2483,2305476.14,Vessel enriched,3.28,5.69743E-05,0.293
MANBAL,Q9NQG1,MANBL_HUMAN,Protein MANBAL,141714.7237,1527686.512,Vessel enriched,3.28,0.000973983,0.495
COL6A3,P12111,CO6A3_HUMAN,Collagen alpha-3(VI) chain,864509.5101,25351427.71,Vessel enriched,3.28,0.007647322,0.741
HLA-H,P01893,HLAH_HUMAN,"Putative HLA class I histocompatibility antigen, alpha chain H",324521.6935,3580333.546,Vessel enriched,3.27,0.001578162,0.538
DHRS7,Q9Y394,DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7,2497831.523,22711177.95,Vessel enriched,3.25,2.37034E-05,0.261
RRAS,P10301,RRAS_HUMAN,Ras-related protein R-Ras,3470485.807,37659226.26,Vessel enriched,3.25,2.62469E-05,0.268
PML,P29590,PML_HUMAN,Protein PML,1535047.993,15598146.26,Vessel enriched,3.24,4.12032E-06,0.153
DHX9,Q08211,DHX9_HUMAN,ATP-dependent RNA helicase A,13133435.17,134153849.2,Vessel enriched,3.24,7.37953E-06,0.181
C4BPA,P04003,C4BPA_HUMAN,C4b-binding protein alpha chain,1045175.48,10040593.5,Vessel enriched,3.24,0.000188037,0.423
SFN,P31947,1433S_HUMAN,14-3-3 protein sigma,431476.1979,11388991.97,Not differentially expressed,3.24,0.104401242,0.86
JTB,O76095,JTB_HUMAN,Protein JTB,256839.0392,3300687.688,Vessel enriched,3.23,0.001181992,0.534
LMOD1,P29536,LMOD1_HUMAN,Leiomodin-1,332762.0221,5280216.956,Vessel enriched,3.23,0.008224556,0.739
SCARB1,Q8WTV0,SCRB1_HUMAN,Scavenger receptor class B member 1,751001.7715,7322377.528,Vessel enriched,3.22,2.62092E-06,0.127
HLA-A,P04439,HLAA_HUMAN,"HLA class I histocompatibility antigen, A alpha chain",6126167.283,59489112.81,Vessel enriched,3.22,1.16081E-05,0.212
SRSF6,Q13247,SRSF6_HUMAN,Serine/arginine-rich splicing factor 6,4005163.308,40926555.56,Vessel enriched,3.22,1.87057E-05,0.245
MYL9,P24844,MYL9_HUMAN,Myosin regulatory light polypeptide 9,7051857.361,79966694.98,Vessel enriched,3.22,4.77269E-05,0.304
H3-7,Q5TEC6,H37_HUMAN,Histone H3-7,18400341.58,202243940.7,Vessel enriched,3.21,9.56127E-05,0.362
KCND3,Q9UK17,KCND3_HUMAN,Potassium voltage-gated channel subfamily D member 3,1890125.202,17339509.46,Vessel enriched,3.21,0.001499829,0.505
TMEM19,Q96HH6,TMM19_HUMAN,Transmembrane protein 19,181137.905,1722989.604,Vessel enriched,3.19,7.78852E-05,0.286
TSPAN9,O75954,TSN9_HUMAN,Tetraspanin-9,987456.2679,8823150.697,Vessel enriched,3.19,0.000304812,0.465
PLSCR1,O15162,PLS1_HUMAN,Phospholipid scramblase 1,577607.5998,6065957.089,Vessel enriched,3.18,8.0725E-05,0.348
EDNRA,P25101,EDNRA_HUMAN,Endothelin-1 receptor,110283.7071,1494581.432,Vessel enriched,3.18,0.036158449,0.818
SRSF7,Q16629,SRSF7_HUMAN,Serine/arginine-rich splicing factor 7,3907118.651,40912761.39,Vessel enriched,3.17,3.69819E-05,0.29
STAB1,Q9NY15,STAB1_HUMAN,Stabilin-1,181817.2655,2190117.657,Vessel enriched,3.17,0.00025739,0.451
TSPAN4,O14817,TSN4_HUMAN,Tetraspanin-4,351489.2694,3851632.805,Vessel enriched,3.16,0.000268444,0.43
TM6SF1,Q9BZW5,TM6S1_HUMAN,Transmembrane 6 superfamily member 1,195727.3482,2108624.804,Vessel enriched,3.16,0.000621252,0.481
HSPG2,P98160,PGBM_HUMAN,Basement membrane-specific heparan sulfate proteoglycan core protein,1015376.386,16567218.78,Vessel enriched,3.15,0.001178705,0.581
BGN,P21810,PGS1_HUMAN,Biglycan,1553141.738,20803257.62,Vessel enriched,3.15,0.001650071,0.615
CYP20A1,Q6UW02,CP20A_HUMAN,Cytochrome P450 20A1,250222.8112,2820354.701,Vessel enriched,3.15,0.013112513,0.756
RAB27A,P51159,RB27A_HUMAN,Ras-related protein Rab-27A,244533.4691,2314063.136,Vessel enriched,3.14,0.00329114,0.601
AHNAK,Q09666,AHNK_HUMAN,Neuroblast differentiation-associated protein AHNAK,6507589.037,67078213.33,Vessel enriched,3.13,7.49984E-05,0.341
CDH5,P33151,CADH5_HUMAN,Cadherin-5,378590.6271,4263751.683,Vessel enriched,3.13,0.000315836,0.468
ZG16B,Q96DA0,PAUF_HUMAN,Pancreatic adenocarcinoma up-regulated factor,171683.3077,2158192.232,Vessel enriched,3.13,0.035997457,0.813
H2AX,P16104,H2AX_HUMAN,Histone H2AX,16031367.66,155454153,Vessel enriched,3.12,0.000114378,0.376
STARD3,Q14849,STAR3_HUMAN,StAR-related lipid transfer protein 3,256352.3201,3830295.746,Vessel enriched,3.11,0.011172288,0.753
PCSK1N,Q9UHG2,PCS1N_HUMAN,ProSAAS,4484240.816,47194297.81,Vessel enriched,3.09,0.003301875,0.678
WDR18,Q9BV38,WDR18_HUMAN,WD repeat-containing protein 18,790857.1093,6946187.445,Vessel enriched,3.08,4.06655E-06,0.152
VCAM1,P19320,VCAM1_HUMAN,Vascular cell adhesion protein 1,167272.2055,1138479.926,Vessel enriched,3.08,0.000586418,0.498
FCGR2B,P31994,FCG2B_HUMAN,Low affinity immunoglobulin gamma Fc region receptor II-b,103156.6156,978053.3774,Vessel enriched,3.07,0.006418194,0.68
EPB42,P16452,EPB42_HUMAN,Protein 4.2,745133.0135,7561847.136,Vessel enriched,3.05,5.84994E-05,0.319
